0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0.2,BoneVRepeat,128,257,95,0,200,6,180
0,BoneVRepeat,128,366,20,0,200,6,180
0,BoneVRepeat,503,257,95,2,200,6,180
0,BoneVRepeat,503,366,20,2,200,6,180
0,BoneVRepeat,113,257,95,0,200,6,180
,,,,,,,,
0,BoneVRepeat,518,257,95,2,200,6,180
,,,,,,,,
0.5,SET,X,10,,,,,
0,SUB,X,$X,1,,,,
0,GetHeartPos,HeartX,HeartY,,,,,
0,BoneH,$HeartX,-5,5,1,300,,
0,Sound,BoneStab,,,,,,
0.5,JMPNZ,14,$X,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1.4,EndAttack,,,,,,,
