0,CombatZoneResize,241,226,406,391,TLResume
0,HeartTeleport,320,304,,,
0,HeartMode,0,,,,
0,TLPause,,,,,
0,SET,Loop,18,,,
0,JMPZ,33,$Loop,,,
0,SUB,Loop,$Loop,1,,
0,RND,Direction,4,,,
0,ADD,Jump,$Direction,1,,
0,JMPREL,$Jump,,,,
0,JMPREL,4,,,,
0,JMPREL,5,,,,
0,JMPREL,6,,,,
0,JMPREL,7,,,,
0,SansBody,HandLeft,,,,
0,JMPREL,7,,,,
0,SansBody,HandUp,,,,
0,JMPREL,5,,,,
0,SansBody,HandDown,,,,
0,JMPREL,3,,,,
0,SansBody,HandRight,,,,
0,JMPREL,1,,,,
0.26666,SansSlam,$Direction,,,,
0.2,BoneStab,$Direction,20,0.4,0,
0,GetHeartPos,HeartX,HeartY,,,
0,BoneH,$HeartX,-5,5,1,500
0,Sound,BoneStab,,,,
0,BoneH,$HeartX,-15,5,1,500
0,BoneH,$HeartX,-25,5,1,500
,,,,,,
,,,,,,
0.261,JMPABS,6,,,,
0,EndAttack,,,,,
